0.02984,33108,33329,36429
0.039857,33096,33336,36437
0.04984,33104,33333,36429
0.059841,33104,33332,36431
0.069814,33101,33332,36427
0.079812,33101,33328,36436
0.089836,33104,33332,36429
0.099837,33100,33329,36429
0.10984,33101,33334,36434
0.11982,33108,33328,36433
0.12982,33104,33330,36435
0.13982,33104,33330,36427
0.14982,33102,33330,36430
0.15982,33101,33331,36437
0.16976,33106,33326,36434
0.17976,33101,33332,36437
0.18976,33097,33340,36427
0.19976,33101,33336,36430
0.20976,33101,33334,36425
0.21973,33109,33332,36433
0.22973,33098,33336,36433
0.23973,33108,33330,36437
0.24972,33102,33333,36434
0.25972,33102,33332,36436
0.26972,33102,33330,36435
0.27972,33104,33326,36437
0.28972,33098,33334,36433
0.29972,33108,33330,36435
0.30972,33096,33336,36437
0.31972,33100,33333,36433
0.32972,33098,33332,36437
0.33972,33098,33331,36433
0.34973,33102,33326,36431
0.35973,33100,33328,36439
0.36973,33104,33329,36435
0.37973,33104,33331,36431
0.38973,33104,33332,36435
0.39973,33104,33332,36431
0.40973,33106,33333,36426
0.41973,33107,33324,36433
0.42973,33104,33334,36429
0.43973,33098,33330,36427
0.44973,33106,33326,36425
0.45973,33106,33328,36429
0.46973,33093,33333,36431
0.47973,33106,33332,36429
0.48973,33096,33328,36429
0.49973,33104,33334,36430
0.50973,33104,33330,36433
0.51973,33102,33326,36438
0.52973,33112,33332,36436
0.53973,33102,33326,36439
0.54973,33104,33330,36431
0.55973,33101,33328,36433
0.56973,33104,33332,36431
0.57973,33098,33334,36432
0.58973,33096,33334,36425
0.59973,33098,33332,36431
0.60973,33106,33332,36434
0.61973,33104,33330,36439
0.62973,33101,33333,36435
0.63973,33099,33333,36431
0.64972,33102,33332,36431
0.65972,33104,33330,36435
0.66972,33100,33336,36431
0.67972,33101,33336,36433
0.68972,33104,33332,36429
0.69972,33100,33329,36431
0.70967,33104,33332,36433
0.71961,33101,33331,36439
0.72961,33101,33328,36437
0.73961,33105,33328,36431
0.74961,33100,33336,36430
0.75961,33104,33330,36433
0.76961,33104,33334,36435
0.77961,33100,33336,36437
0.7896,33104,33330,36427
0.7996,33096,33337,36431
0.8096,33106,33332,36431
0.8196,33100,33330,36431
0.8296,33104,33333,36437
0.83959,33100,33334,36437
0.84959,33106,33330,36435
0.85959,33102,33329,36435
0.86959,33102,33334,36435
0.87959,33100,33334,36437
0.88958,33100,33336,36439
0.89958,33112,33329,36437
0.90958,33104,33325,36439
0.91957,33102,33333,36431
0.92957,33105,33333,36433
0.93957,33100,33329,36432
0.94957,33109,33320,36431
0.95957,33096,33330,36435
0.96956,33101,33328,36431
0.97956,33110,33325,36435
0.98956,33104,33330,36431
0.99956,33100,33330,36439
1.0095,33104,33330,36431
1.0195,33102,33330,36439
1.0295,33101,33330,36433
